region,year,business_type,openings
양양군,2017,관광호텔,0
양양군,2018,관광호텔,0
양양군,2019,관광호텔,0
양양군,2020,관광호텔,0
양양군,2021,관광호텔,1
양양군,2022,관광호텔,0
양양군,2023,관광호텔,1
양양군,2024,관광호텔,0
양양군,2025,관광호텔,0
양양군,2017,숙박업기타,3
양양군,2018,숙박업기타,4
양양군,2019,숙박업기타,2
양양군,2020,숙박업기타,7
양양군,2021,숙박업기타,5
양양군,2022,숙박업기타,4
양양군,2023,숙박업기타,7
양양군,2024,숙박업기타,4
양양군,2025,숙박업기타,5
양양군,2017,숙박업생활,10
양양군,2018,숙박업생활,23
양양군,2019,숙박업생활,7
양양군,2020,숙박업생활,12
양양군,2021,숙박업생활,22
양양군,2022,숙박업생활,7
양양군,2023,숙박업생활,12
양양군,2024,숙박업생활,13
양양군,2025,숙박업생활,11
양양군,2018,여관업,3
양양군,2019,여관업,4
양양군,2020,일반호텔,1
양양군,2023,휴양콘도미니엄업,1
신안군,2019,숙박업기타,1
신안군,2020,숙박업기타,1
신안군,2022,숙박업기타,2
신안군,2024,숙박업기타,4
신안군,2017,숙박업생활,1
신안군,2018,숙박업생활,2
신안군,2019,숙박업생활,1
신안군,2021,숙박업생활,2
신안군,2022,숙박업생활,2
신안군,2023,숙박업생활,3
신안군,2018,여관업,6
신안군,2019,여관업,2
신안군,2022,일반호텔,1
신안군,2023,일반호텔,1
신안군,2022,휴양콘도미니엄업,1
