region,year,visitor_index,supply_cum_openings,supply_index,tour_gap,lodging_visitor_ratio_pct,national_avg_ratio_pct,avg_stay_minutes,national_avg_stay_minutes
양양군,2019,100.0,56,100.0,0.0,,,,
양양군,2020,110.3,76,135.7,25.4,19.2,8.2,1045.0,1228.0
양양군,2021,104.1,104,185.7,81.6,23.4,7.9,1143.0,1183.0
양양군,2022,121.8,115,205.4,83.6,24.4,8.4,1148.0,1176.0
양양군,2023,114.5,136,242.9,128.4,24.7,8.3,1109.0,1115.0
양양군,2024,110.1,153,273.2,163.1,21.7,7.6,982.0,1034.0
양양군,2025,112.6,169,301.8,189.2,21.0,7.2,1007.0,1048.0
신안군,2019,100.0,13,100.0,0.0,,,,
신안군,2020,95.2,14,107.7,12.5,16.0,8.2,1767.0,1228.0
신안군,2021,109.4,16,123.1,13.7,15.0,7.9,1645.0,1183.0
신안군,2022,115.9,22,169.2,53.3,15.9,8.4,1713.0,1176.0
신안군,2023,121.8,26,200.0,78.2,17.9,8.3,1774.0,1115.0
신안군,2024,127.0,30,230.8,103.8,16.8,7.6,1766.0,1034.0
신안군,2025,127.7,30,230.8,103.1,17.1,7.2,1815.0,1048.0
